,description,ref,location,amount,colorway/4,colorway/5,colorway/6
1, #5 matte water resistant reverse coil,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,slider/pull color: x6 black oxides zipper tape/teeth color: matte black,slider/pull color: x6 black oxides zipper tape/teeth color: matte black,slider/pull color: x6 black oxides zipper tape/teeth color: matte black
2, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket horizontal,1,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black
3, #5 coil zipper,"non ykk / 2-way closed end top, open end bottom zip out to close. dadhr die cast wire non locking",right side entry,1,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,left underarm vent,1,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black
5, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black
6,additional zipper pulls,supplier/ reference number,location,amount,silt,walnut,black
7,"l1-2018-trim-017
l1 zipper pull",ykk,center front,1,x6 black oxides,x6 black oxides,x6 black oxides
8,l1-2018-trim-018 / non branded zipper pull faux leather,please source: same supplier as other faux leather trims,chest pocket (1) hand pockets (2),3,black faux leather,black faux leather,black faux leather
9, 11nt-045 / self fabric pull ,factory made,right side entry,2,match to shell,match to shell,match to shell
10, 11nt-045 / self fabric pull ,factory made,left underarm vent,1,match to shell,match to shell,match to shell
11,branded trims,supplier/ reference number,location,amount,silt,walnut,black
12,"l1-2018-trim-007/ 
large black faux leather hem wrap",please source: same supplier as other faux leather trims,chest pocket horizontal,1,black faux leather,black faux leather,black faux leather
13,"l1-2018-trim-002
black faux leather patch",please source: same supplier as other faux leather trims,front left,1,black faux leather,black faux leather,black faux leather
14,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,front left sleeve hem,1,match to shell,match to shell,match to shell
15,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell
16,trims,supplier/ reference number,location,amount,silt,walnut,black
17,15mm metal snap ,luk's / 404,powder skirt - side closure,"2 female, 4 male",al023 alloy (d),al023 alloy (d),al023 alloy (d)
18,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d),al023 alloy (d),al023 alloy (d)
19,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d),al023 alloy (d),al023 alloy (d)
20,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,al023 alloy (d),al023 alloy (d),al023 alloy (d)
21,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,matte black,matte black,matte black
22,shockcord tip,as  bulk production,front hood shockcord ends,1 per side = 2,matte black,matte black,matte black
23,keyclip,as  bulk production,right hand pocket,1,black,black,black
24,notions,supplier/ reference number,location,amount,silt,walnut,black
25,"1/4"" grosgrain",soluna,attach front hood cord lock,1 per side = 2,black,black,black
26,"1/4"" grosgrain",soluna,attach keyclip right hand pocket ,1,black,black,black
27,grosgrain,xxx,powder skirt - side tabs jacket to pant connection ,1,black,black,black
28,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black
29,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell
30,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell
31,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell
32,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black
33,elastic ,xxx,back of sleeve cuffs,1,black,black,black
34,"l1-2018-trim-030
two-color shock cord
see color ups for 
colors",chun wo ho /,hood,1,"two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal"
35,shockcord,xxx,hem,1,black,black,black
36,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black
37,velcro,supplier/ reference number,location,amount,silt,walnut,black
38,"3/4"" x 3 3/4"" velcro with rounded corners",xxx,cuff on body,1 per side = 2,match to shell,match to shell,match to shell
39,"3/4"" x 2 1/2"" velcro with rounded corners",xxx,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell
40,thread,spi,supplier/ ref number,amount,silt,walnut,black
41,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell
42,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,match to shell,match to shell,match to shell
43,bartacks,none,100 / 2,none,match to shell,match to shell,match to shell
44,labels ,supplier/ reference number,location,amount,silt,walnut,black
45,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped
46,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl"
47,hang tags,supplier/ reference number,location,amount,silt,walnut,black
48,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag
49,care and content labels,supplier/ reference number,location,amount,silt,walnut,black
50,address label,factory sourced,lining left side seam,1,address label,address label,address label
51,content label,factory sourced,lining left side seam,1,content label,content label,content label
52,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label
