,0,1,2,3,4,5,6,7,8,9
10,shell fabric,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
11,all shell is same fabric,"new stretch twill 10k/10k laminate c6 dwr, $4.28",raco 950703-b,100% polyester,black,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
15,non insulated,none,none,none,no,none,none,none,none,none
17,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
18,fully taped,width...seam tape,sealon,none,yes,none,none,none,none,none
20,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
21,bib & hand pocket lining,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
22,legs,small hole mesh,please sorce,100% poly,black,none,none,none,none,none
23,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
24,waistband ,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
