,0,1,2,3,4,5,6,7,8,9
0,none,l1 womens pant,none,none,none,none,none,none,none,none
1,none,season:,none,winter 2017/2018,none,contractor:,none,soluna,none,none
2,none,style number:,none,l1ta-204-17,none,date created:,none,2016-02-14 00:00:00,none,none
3,none,style name:,none,heartbreaker denim pant,none,date revised:,none,none,none,none
4,none,waterproof/breathability:,none,marked as: 10k/10k,none,block:,none,l1ta-204-16 heartbreaker premium rererence block,none,none
5,none,seam sealining:,none,critically taped,none,fit:,none,skinny,none,none
6,none,insulation:,none,shell,none,target fob:,none,41,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
11,all shell is same fabric,overdye pigment $6.90 10k/10k,laka tex  ls1068-dl2a,"85% cotton, 13% poly, 2% spandex",black overdye denim,x,none,none,none,none
12,all shell is same fabric,brown denim overdye 10k/10k $10.65,solis l2-1081,"84.5% cotton, 13.5% poly, 2% spandex",x,brown overdye denim,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
15,non insulated,none,none,none,no,none,none,none,none,none
17,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
18,critically taped,width...seam tape,sealon,none,yes,none,none,none,none,none
20,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
21,main body,small hole mesh ,please sorce,100% poly,black,none,none,none,none,none
22,lower leg,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
23,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
24,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
