,Style,amount,colorway/10,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9,content,description,item,location,ref
0,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,,,,, #8 metal zipper,,center front,ykk / 2-way semi auto locking with 2 l1 custom pulls
1,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,,,,, #5 metal zipper,,sleeve pocket,non ykk / 1-way dadhr die cast wire non locking
2,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,, #5 coil zipper,,underarm vents,non ykk / 1-way dadhr die cast wire non locking
3,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,,,,, #5 coil zipper,,hand pockets vertical,non ykk / 1-way dadhr die cast wire non locking
4,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,, #5 coil zipper,,lining pocket vertical,non ykk / 1-way dadhr die cast wire non locking
5,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,additional zipper pulls,,location,supplier/ reference number
6,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,top and bottom pull = 2,,ykk x antique copper,ykk x antique copper,ykk x antique copper,,,,,"l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",,center front,ykk
7,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,3,,black faux leather,black faux leather,black faux leather,,,,,"l1-2018-trim-018
non branded zipper pull. faux leather",,sleeve pocket (1) hand pockets (2),please source: same supplier as other faux leather trims
8,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,,,,, 11nt-045 / self fabric pull ,,underarm vents,factory made
9,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,, 11nt-045 / self fabric pull ,,lining pocket vertical,factory made
10,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,branded trims,,location,supplier/ reference number
11,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black faux leather,black faux leather,black faux leather,,,,,"l1-2018-trim-007
large black faux leather hem wrap",,left hand pocket hem,please source: same supplier as other faux leather trims
